,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,svalue
Sdccag3,1843.47716582904,-0.257091339423933,0.0716405099812053,-3.81226935604614,0.000137696699970776,0.000449781735533284,0.880012885361029
Tspyl3,319.631679438147,-0.259588444373159,0.0904972103458742,-3.14556768079915,0.00165764835930527,0.00432654153110537,0.845392947266272
Abtb2,904.763372844764,-0.260023329656735,0.0914685848734051,-3.12285651178686,0.001791050427656,0.00465246670612547,0.843712435823514
Zeb2os,170.985002535679,-0.26048962017458,0.116914407388418,-2.57027517930814,0.0101617760530709,0.0215271799493211,0.807860277461068
Lrsam1,770.147837573836,-0.260617635705283,0.0790581044703923,-3.54427806281538,0.000393689800448994,0.00117675499257494,0.914836391485271
Nostrin,372.791979820974,-0.261843162376947,0.126009504002198,-2.44214724236588,0.0146001904590115,0.0294432676354558,0.794103257024388
Arhgap21,6836.90979886529,-0.262508956623945,0.0818273967259218,-3.46536329367656,0.000529515655870586,0.00154465663249949,0.886336316962555
Cd82,8911.26437330226,-0.262701175797147,0.106013691433635,-2.79747942979521,0.00515030466235321,0.0118794553628485,0.821754678873281
Ctsz,5755.37680875906,-0.263868730025915,0.0536381951002958,-5.09610000400718,3.46722019342029e-07,1.76763422010352e-06,0.906935560490377
Tomm34,1044.42084150659,-0.264718405686828,0.0549280372628253,-5.00069229959644,5.71248191940196e-07,2.78228472056587e-06,0.880841525655497
Fam171a1,5149.84417136254,-0.266139891214147,0.0690623921874002,-4.07856131633407,4.53152515087217e-05,0.0001631648164885,0.907633045583062
Optn,274.279200348476,-0.268187265883097,0.114673310054761,-2.6854188959093,0.00724389533365106,0.0159981575081241,0.809976353694739
Fnbp1,2309.56684267795,-0.27037193389926,0.070545473924742,-4.06588171395219,4.7851202897078e-05,0.000171729152502343,0.898505017146564
Tmem62,311.346817233813,-0.27071876925235,0.0882954118694099,-3.34964030381216,0.000809165636032546,0.00223493597192787,0.848381835807697
Sh3glb2,995.881135945682,-0.273404709637645,0.0708613898058566,-4.09540344561784,4.21433842089486e-05,0.000152246464145572,0.898265642187004
